East,North,RSS,Time,AccelerometerX,AccelerometerY,AccelerometerZ,Sunload,Lane,ReceiverAngle,Distance,Turbulence,TransmitPowerRef,PathLoss,PLSyn
2904.582,4112.5591,-36.06539536,15:11:05.884,0.00390625,0.0859375,0.98046875,0.375976601,3,30,6.42477086,1,4.168313503,40.23370886,45.4640658467593
2904.582,4112.5576,-48.12895584,15:11:58.883,-0.01953125,-0.0234375,0.96875,0.380859414,3,30,9.167202002,0,4.168313503,52.29726934,48.5516490094129
2904.582,4112.5576,-47.34497452,15:11:59.883,0.06640625,0.015625,1.05078125,0.375976601,3,30,9.167202002,0,4.168313503,51.51328802,48.5516490094129
2904.582,4112.5635,0.204685092,15:03:41.667,0.01953125,0.0390625,0.98046875,0.371093788,2,30,2.238086493,1,4.168313503,3.963628411,36.3044503090347
2904.582,4112.5635,0.224318489,15:03:42.667,-0.00390625,0.0546875,0.9765625,0.371093788,2,30,2.238086493,1,4.168313503,3.943995014,36.3044503090347
2904.5818,4112.5522,-40.62510681,15:08:38.537,-0.00390625,-0.01171875,1.0625,0.366210975,3,30,19.11339518,1,4.168313503,44.79342031,54.9336697676177
2904.5818,4112.5522,-41.55712891,15:08:39.537,0.02734375,0.0234375,0.984375,0.361328162,3,30,19.11339518,1,4.168313503,45.72544241,54.9336697676177
2904.5818,4112.5522,-48.80567551,15:09:22.536,0.01953125,0.0234375,0.96875,0.366210975,3,30,19.11339518,0,4.168313503,52.97398901,54.9336697676177
2904.5818,4112.5522,-48.08505249,15:09:23.536,0.03515625,0.015625,0.9375,0.366210975,3,30,19.11339518,0,4.168313503,52.25336599,54.9336697676177
2904.5818,4112.5542,-47.63559341,15:09:24.536,0.00390625,0.015625,0.9375,0.366210975,3,30,15.41289461,0,4.168313503,51.80390691,53.0645971603441
2904.5818,4112.5542,-46.50201797,15:09:25.536,0.03125,0.00390625,0.97265625,0.366210975,3,30,15.41289461,0,4.168313503,50.67033147,53.0645971603441
2904.5818,4112.5552,-48.31981659,15:10:42.884,0.01953125,0.01171875,0.98828125,0.371093788,3,30,13.56387246,0,4.168313503,52.48813009,51.9545869339468
2904.5818,4112.5552,-47.41643143,15:10:43.884,-0.01953125,0.046875,0.94140625,0.371093788,3,30,13.56387246,0,4.168313503,51.58474493,51.9545869339468
2904.5818,4112.5576,-36.0158844,15:11:06.883,-0.00390625,0.125,0.9296875,0.371093788,3,30,9.133212298,1,4.168313503,40.1841979,48.5193840396243
2904.5818,4112.5576,-36.18960571,15:11:07.883,0.02734375,0.07421875,1.0078125,0.375976601,3,30,9.133212298,1,4.168313503,40.35791921,48.5193840396243
2904.5818,4112.5557,-50.01029587,15:11:56.884,-0.01953125,0.00390625,1.00390625,0.375976601,3,30,12.63982564,0,4.168313503,54.17860937,51.3417346464629
2904.5818,4112.5557,-49.19908142,15:11:57.884,-0.01953125,0.0234375,0.96875,0.375976601,3,30,12.63982564,0,4.168313503,53.36739492,51.3417346464629
2904.5818,4112.5625,0.230973393,15:03:43.667,-0.0078125,0.046875,0.984375,0.371093788,2,30,0.975948576,1,4.168313503,3.93734011,29.0954516787296
2904.5818,4112.5625,-1.280151248,15:03:44.667,0,0.00390625,0.97265625,0.371093788,2,30,0.975948576,1,4.168313503,5.448464751,29.0954516787296
2904.5818,4112.5649,-4.652058125,14:57:46.178,0.0078125,0.04296875,0.9921875,0.371093788,2,30,4.55361107,1,4.168313503,8.820371628,42.4740316679966
2904.5818,4112.5649,-4.655339718,14:57:47.178,-0.00390625,0.04296875,0.9765625,0.371093788,2,30,4.55361107,1,4.168313503,8.823653221,42.4740316679966
2904.5815,4112.5503,-42.45385742,15:08:40.537,0.03125,0.046875,0.9921875,0.361328162,3,30,22.61651193,1,4.168313503,46.62217092,56.3954255031459
2904.5815,4112.5503,-43.45712662,15:08:41.537,0.01171875,0.0234375,0.99609375,0.356445349,3,30,22.61651193,1,4.168313503,47.62544012,56.3954255031459
